,trialnumber,trlid,blocknumber,arraytiltcond,probetiltcond,stim1cond,stim2cond,trialDifficultyChange,trialdifficulty,difficultyOri,stim1ori,addToStim1,stim2ori,correctResp,delay1,delay2,ITI,stim1trig,stim2trig,respcuetrig,buttonpresstrig,fbtrig,rt,resptime,PerceptDecCorrect,trlResponded,buttonResponded,buttontrig,subid,fbgiven,prevtrlfb,rewarded,unrewarded
271,42,42,1,0,0,-1,-1,0,2,8,-46,0,-46,d,6.52,0.5,4.28,1,2,22,-100,61,0.30395073,0.3700813308,0,1,k,50.0,14,incorrect,correct,0,1
277,43,43,1,0,0,-1,-1,0,2,8,-50,0,-50,d,6.32,0.55,4.32,1,2,22,-100,60,0.304628415,0.3601216127,1,1,d,40.0,14,correct,incorrect,1,0
283,44,44,1,0,0,-1,-1,0,2,8,-58,0,-58,d,5.32,0.41,3.16,1,2,22,-100,60,0.2485752791,0.3300637001,1,1,d,40.0,14,correct,correct,1,0
289,45,45,1,1,0,1,-1,0,2,8,35,0,35,d,4.87,0.5,3.38,10,11,31,-100,61,0.3149342457,0.3700773393,0,1,k,50.0,14,incorrect,correct,0,1
301,47,47,1,1,1,1,1,0,2,8,39,8,47,k,4.16,0.65,4.73,10,12,32,-100,60,0.3548138875,0.4201214017,1,1,k,50.0,14,correct,correct,1,0
307,48,48,1,0,1,-1,1,0,2,8,-53,8,-45,k,6.25,0.61,4.98,1,3,23,-100,60,0.151012864,0.2200138616,1,1,k,50.0,14,correct,correct,1,0
313,49,49,1,1,1,1,1,0,2,8,42,8,50,k,6.49,0.47,3.54,10,12,32,-100,60,0.4805334468,0.5702350572,1,1,k,50.0,14,correct,correct,1,0
319,50,50,1,0,0,-1,-1,0,2,8,-54,0,-54,d,5.95,0.42,4.18,1,2,22,-100,60,0.4735892419,0.5602052043,1,1,d,40.0,14,correct,correct,1,0
325,51,51,1,0,1,-1,1,0,2,8,-58,8,-50,k,4.5,0.67,3.86,1,3,23,-100,61,0.3175819787,0.3501328143,0,1,d,40.0,14,incorrect,correct,0,1
331,52,52,1,0,1,-1,1,0,2,8,-54,8,-46,k,5.43,0.51,4.19,1,3,23,-100,60,0.3369198088,0.3901427472,1,1,k,50.0,14,correct,incorrect,1,0
337,53,53,1,0,0,-1,-1,1,0,2,-39,0,-39,d,6.82,0.61,4.54,1,2,22,-100,61,0.0812235622,0.1499528586,0,1,k,50.0,14,incorrect,correct,0,1
343,54,54,1,1,1,1,1,0,0,2,50,2,52,k,6.08,0.52,4.08,10,12,32,-100,60,0.2843460453,0.3902858679,1,1,k,50.0,14,correct,incorrect,1,0
349,55,55,1,0,1,-1,1,0,0,2,-39,2,-37,k,6.5,0.49,4.88,1,3,23,-100,60,0.8749336071,0.9404027736,1,1,k,50.0,14,correct,correct,1,0
355,56,56,1,1,1,1,1,0,0,2,50,2,52,k,6.3,0.4,3.8,10,12,32,-100,60,0.2918949494,0.3801254387,1,1,k,50.0,14,correct,correct,1,0
361,57,57,1,1,0,1,-1,0,0,2,36,0,36,d,5.05,0.46,4.14,10,11,31,-100,61,0.9055568749,0.9904448402,0,1,k,50.0,14,incorrect,correct,0,1
367,58,58,1,0,1,-1,1,0,0,2,-59,2,-57,k,4.56,0.64,3.95,1,3,23,-100,60,0.2949358366,0.3800533082,1,1,k,50.0,14,correct,incorrect,1,0
373,59,59,1,1,1,1,1,0,0,2,38,2,40,k,6.75,0.67,3.46,10,12,32,-100,60,0.1380339264,0.2100199314,1,1,k,50.0,14,correct,correct,1,0
379,60,60,1,1,1,1,1,0,0,2,57,2,59,k,4.11,0.61,3.47,10,12,32,-100,60,0.3406215601,0.4101183483,1,1,k,50.0,14,correct,correct,1,0
385,61,61,1,0,0,-1,-1,0,0,2,-47,0,-47,d,4.77,0.68,4.57,1,2,22,-100,61,0.3143919836,0.4001252734,0,1,k,50.0,14,incorrect,correct,0,1
391,62,62,1,1,0,1,-1,0,0,2,57,0,57,d,5.34,0.48,3.85,10,11,31,-100,60,0.4518762354,0.5501790577,1,1,d,40.0,14,correct,incorrect,1,0
397,63,63,1,0,1,-1,1,0,0,2,-35,2,-33,k,4.68,0.6,4.62,1,3,23,-100,61,0.4274157106,0.5303582665,0,1,d,40.0,14,incorrect,correct,0,1
403,64,64,1,1,0,1,-1,0,0,2,37,0,37,d,4.95,0.53,3.72,10,11,31,-100,60,0.3709637183,0.4601316197,1,1,d,40.0,14,correct,incorrect,1,0
409,1,65,2,1,1,1,1,0,2,8,55,8,63,k,4.16,0.52,4.67,10,12,32,-100,60,0.0075805503,0.0899188574,1,1,k,50.0,14,correct,correct,1,0
415,2,66,2,1,0,1,-1,0,2,8,30,0,30,d,5.8,0.68,3.47,10,11,31,-100,60,0.0732073776,0.1599904092,1,1,d,40.0,14,correct,correct,1,0
421,3,67,2,1,1,1,1,0,2,8,30,8,38,k,4.88,0.41,4.28,10,12,32,-100,60,0.3529581651,0.4201239676,1,1,k,50.0,14,correct,correct,1,0
427,4,68,2,1,0,1,-1,0,2,8,60,0,60,d,4.27,0.55,3.37,10,11,31,-100,61,0.1157051018,0.1500073128,0,1,k,50.0,14,incorrect,correct,0,1
433,5,69,2,0,0,-1,-1,0,2,8,-45,0,-45,d,6.93,0.53,4.02,1,2,22,-100,61,0.4302749885,0.4801693728,0,1,k,50.0,14,incorrect,incorrect,0,1
