"trialnumber","trlid","blocknumber","arraytiltcond","probetiltcond","stim1cond","stim2cond","trialDifficultyChange","trialdifficulty","difficultyOri","stim1ori","addToStim1","stim2ori","correctResp","delay1","delay2","ITI","stim1trig","stim2trig","respcuetrig","buttonpresstrig","fbtrig","rt","resptime","PerceptDecCorrect","trlResponded","buttonResponded","buttontrig","subid","fbgiven","prevtrlfb","rewarded","unrewarded"
16,144,3,0,1,-1,1,0,2,8,-50,8,-42,"k",6.34,0.56,3.64,1,3,23,-100,60,0.24926110171873,0.330144056300924,1,1,"k",50,3,"correct","correct",1,0
17,145,3,1,0,1,-1,0,2,8,48,0,48,"d",4.52,0.49,3.81,10,11,31,-100,60,0.127571461518528,0.260069671825477,1,1,"d",40,3,"correct","correct",1,0
18,146,3,0,0,-1,-1,0,2,8,-58,0,-58,"d",6.33,0.56,3.03,1,2,22,-100,60,1.11501525122731,1.20057349967465,1,1,"d",40,3,"correct","correct",1,0
19,147,3,1,1,1,1,0,2,8,33,8,41,"k",6.38,0.48,4.4,10,12,32,-100,60,0.199522634793539,0.300098329706088,1,1,"k",50,3,"correct","correct",1,0
20,148,3,1,0,1,-1,0,2,8,40,0,40,"d",5.76,0.67,4.17,10,11,31,-100,61,0.236795837136015,0.350144985710358,0,1,"k",50,3,"incorrect","correct",0,1
21,149,3,0,0,-1,-1,0,2,8,-51,0,-51,"d",5.59,0.52,3.33,1,2,22,-100,61,0.120412979067623,0.220037592796871,0,1,"k",50,3,"incorrect","incorrect",0,1
22,150,3,0,0,-1,-1,0,2,8,-45,0,-45,"d",4.71,0.6,4.89,1,2,22,-100,61,0.568014421311091,0.68026110257415,0,1,"k",50,3,"incorrect","incorrect",0,1
23,151,3,1,1,1,1,0,2,8,36,8,44,"k",5.34,0.52,3.55,10,12,32,-100,60,0.237451843677263,0.320086429786897,1,1,"k",50,3,"correct","incorrect",1,0
24,152,3,1,1,1,1,0,2,8,46,8,54,"k",5,0.48,4.45,10,12,32,-100,60,0.28547146514029,0.400117231591139,1,1,"k",50,3,"correct","correct",1,0
25,153,3,0,0,-1,-1,0,2,8,-40,0,-40,"d",5.13,0.49,4.78,1,2,22,-100,61,0.230443036765791,0.32011978605442,0,1,"k",50,3,"incorrect","correct",0,1
26,154,3,1,0,1,-1,0,2,8,51,0,51,"d",6.43,0.59,3.89,10,11,31,-100,60,0.27356099791723,0.39014199790472,1,1,"d",40,3,"correct","incorrect",1,0
27,155,3,0,1,-1,1,0,2,8,-46,8,-38,"k",4.63,0.54,3.33,1,3,23,-100,60,0.209883888837794,0.31012687639668,1,1,"k",50,3,"correct","correct",1,0
28,156,3,0,1,-1,1,1,3,12,-48,12,-36,"k",4.88,0.5,4.45,1,3,23,-100,60,0.383491842112562,0.50015609021284,1,1,"k",50,3,"correct","correct",1,0
29,157,3,0,1,-1,1,0,3,12,-56,12,-44,"k",6.81,0.54,3.69,1,3,23,-100,60,0.324423599471629,0.440155582742591,1,1,"k",50,3,"correct","correct",1,0
30,158,3,0,0,-1,-1,0,3,12,-36,0,-36,"d",6.79,0.53,4.8,1,2,22,-100,60,0.25270820082369,0.350135577537003,1,1,"d",40,3,"correct","correct",1,0
