,trialnumber,trlid,blocknumber,arraytiltcond,probetiltcond,stim1cond,stim2cond,trialDifficultyChange,trialdifficulty,difficultyOri,stim1ori,addToStim1,stim2ori,correctResp,delay1,delay2,ITI,stim1trig,stim2trig,respcuetrig,buttonpresstrig,fbtrig,rt,resptime,PerceptDecCorrect,trlResponded,buttonResponded,buttontrig,subid,fbgiven,prevtrlfb,rewarded,unrewarded
1096,52,180,3,1,1,1,1,1,0,2,58,2,60,k,4.05,0.52,4.76,10,12,32,-100,60,0.4692557068,0.5202183646,1,1,k,50.0,14,correct,correct,1,0
1102,53,181,3,0,0,-1,-1,0,0,2,-34,0,-34,d,5.73,0.61,4.98,1,2,22,-100,61,0.1519651014,0.1999860871,0,1,k,50.0,14,incorrect,correct,0,1
1108,54,182,3,0,0,-1,-1,0,0,2,-41,0,-41,d,4.38,0.56,4.35,1,2,22,-100,61,0.3780125553,0.4301891731,0,1,k,50.0,14,incorrect,incorrect,0,1
1114,55,183,3,0,0,-1,-1,0,0,2,-42,0,-42,d,5.61,0.41,3.68,1,2,22,-100,60,0.3436604516,0.4301327231,1,1,d,40.0,14,correct,incorrect,1,0
1120,56,184,3,0,0,-1,-1,0,0,2,-46,0,-46,d,6.34,0.48,3.71,1,2,22,-100,61,0.2885264812,0.3400311159,0,1,k,50.0,14,incorrect,correct,0,1
1126,57,185,3,0,1,-1,1,0,0,2,-35,2,-33,k,4.0,0.69,3.93,1,3,23,-100,60,0.6670000448,0.7403271648,1,1,k,50.0,14,correct,incorrect,1,0
1132,58,186,3,0,0,-1,-1,0,0,2,-45,0,-45,d,6.52,0.48,3.5,1,2,22,-100,60,0.5180621457,0.5902405939,1,1,d,40.0,14,correct,correct,1,0
1138,59,187,3,0,0,-1,-1,0,0,2,-41,0,-41,d,5.22,0.58,4.91,1,2,22,-100,61,0.069027512,0.1199516811,0,1,k,50.0,14,incorrect,correct,0,1
1144,60,188,3,1,0,1,-1,0,0,2,38,0,38,d,5.47,0.48,3.48,10,11,31,-100,60,0.5190517313,0.5702330615,1,1,d,40.0,14,correct,incorrect,1,0
1150,61,189,3,0,1,-1,1,0,0,2,-40,2,-38,k,4.66,0.65,3.52,1,3,23,-100,61,0.2808090824,0.35013481,0,1,d,40.0,14,incorrect,correct,0,1
1156,62,190,3,1,1,1,1,0,0,2,32,2,34,k,6.71,0.54,4.34,10,12,32,-100,60,0.3336759297,0.4001275542,1,1,k,50.0,14,correct,incorrect,1,0
1162,63,191,3,0,1,-1,1,0,0,2,-37,2,-35,k,5.93,0.66,4.93,1,3,23,-100,60,0.3102320751,0.3801032009,1,1,k,50.0,14,correct,correct,1,0
