trialnumber,trlid,blocknumber,arraytiltcond,probetiltcond,stim1cond,stim2cond,trialDifficultyChange,trialdifficulty,difficultyOri,stim1ori,addToStim1,stim2ori,correctResp,delay1,delay2,ITI,stim1trig,stim2trig,respcuetrig,buttonpresstrig,fbtrig,rt,resptime,PerceptDecCorrect,trlResponded,buttonResponded,buttontrig,subid,fbgiven,prevtrlfb,rewarded,unrewarded
7,71,2,0,1,-1,1,0,2,8,-35,8,-27,k,5.44,0.49,4.1,1,3,23,-100,60,0.3665040953,0.5501802236,1,1,k,50.0,16,correct,correct,1,0
8,72,2,1,0,1,-1,0,2,8,30,0,30,d,4.34,0.4,3.43,10,11,31,-100,60,0.3029512882,0.4802107546,1,1,d,40.0,16,correct,correct,1,0
9,73,2,1,1,1,1,0,2,8,32,8,40,k,6.6,0.61,3.82,10,12,32,-100,61,0.401907066,0.6102343292,0,1,d,40.0,16,incorrect,correct,0,1
10,74,2,1,0,1,-1,0,2,8,34,0,34,d,5.12,0.66,4.8,10,11,31,-100,60,0.308814008,0.5101823561,1,1,d,40.0,16,correct,incorrect,1,0
11,75,2,0,0,-1,-1,0,2,8,-58,0,-58,d,6.04,0.6,4.07,1,2,22,-100,61,0.345932118,0.4901543426,0,1,k,50.0,16,incorrect,correct,0,1
12,76,2,1,1,1,1,0,2,8,55,8,63,k,6.47,0.66,4.12,10,12,32,-100,60,0.2624145887,0.4101249663,1,1,k,50.0,16,correct,incorrect,1,0
13,77,2,0,1,-1,1,0,2,8,-34,8,-26,k,5.18,0.7,4.65,1,3,23,-100,60,0.3557431362,0.4701827781,1,1,k,50.0,16,correct,correct,1,0
14,78,2,0,0,-1,-1,0,2,8,-51,0,-51,d,5.18,0.44,4.4,1,2,22,-100,61,0.6753152523,0.7903330694,0,1,k,50.0,16,incorrect,correct,0,1
15,79,2,1,1,1,1,0,2,8,58,8,66,k,5.99,0.63,4.14,10,12,32,-100,60,0.2640644409,0.3501372881,1,1,k,50.0,16,correct,incorrect,1,0
16,80,2,0,0,-1,-1,1,0,2,-60,0,-60,d,6.05,0.47,3.03,1,2,22,-100,60,0.8598144536,1.0704817871,1,1,d,40.0,16,correct,correct,1,0
